"id";"day";"end_time";"start_time";"schedule_id"
13072;7;0;0;2092
13082;2;1500;1100;2102
13092;3;0;0;2102
13102;1;0;0;2102
13112;5;1500;1100;2102
13122;4;1500;1100;2102
13132;6;0;0;2102
13142;7;0;0;2102
13152;3;1900;1100;2112
13162;2;1900;1100;2112
13172;1;0;0;2112
13182;4;0;0;2112
13192;5;1900;1100;2112
13202;7;1900;1100;2112
13212;1;0;0;2132
13222;2;0;0;2132
13232;6;1900;1100;2112
13242;1;1900;1100;2122
13252;4;1500;1100;2132
13262;3;0;0;2132
13272;6;0;0;2132
13282;2;1900;1100;2122
13292;5;0;0;2132
13302;3;1900;1100;2122
13312;7;0;0;2132
13322;4;1900;1100;2122
13332;5;1900;1100;2122
13342;6;1900;1100;2122
13352;3;1900;1100;2142
13362;2;1900;1500;2142
13372;7;1900;1100;2122
13382;1;1900;1100;2142
13392;4;1900;1500;2142
13402;5;0;0;2142
13412;6;0;0;2142
13422;7;0;0;2142
13432;2;0;0;2152
13442;1;0;0;2152
13452;3;0;0;2152
13462;7;0;0;2152
13472;4;1900;1500;2152
13482;5;0;0;2152
13492;1;0;0;2172
13502;6;0;0;2152
13512;2;0;0;2172
13522;6;1500;1100;2172
13532;4;0;0;2172
13542;3;0;0;2172
13552;5;0;0;2172
13562;7;0;0;2172
13572;1;0;0;2162
13582;2;0;0;2162
13592;3;0;0;2162
13602;5;1900;1500;2162
13612;6;0;0;2162
13622;4;0;0;2162
13632;7;0;0;2162
13642;2;0;0;2182
13652;3;0;0;2182
13662;2;0;0;2192
13672;1;0;0;2182
13682;5;0;0;2182
13692;4;0;0;2182
13702;7;1600;1100;2182
13712;6;0;0;2182
13722;3;0;0;2192
13732;1;0;0;2192
13742;4;0;0;2192
13752;5;0;0;2192
13762;6;1900;1500;2192
13772;7;0;0;2192
13782;1;2200;1100;2202
13792;2;2200;1100;2202
13802;3;2200;1100;2202
13812;4;2200;1100;2202
13822;6;2300;1100;2202
13832;5;2300;1100;2202
13842;7;2200;1100;2202
13852;1;2300;1100;2212
13862;2;2300;1100;2212
13872;5;2330;1100;2212
13882;3;2300;1100;2212
13892;4;2300;1100;2212
13902;6;2400;1100;2212
13912;7;2400;1100;2212
13922;1;1500;1100;2222
13932;4;0;0;2222
13942;5;0;0;2222
13952;3;0;0;2222
13962;2;0;0;2222
13972;6;0;0;2222
13982;7;0;0;2222
13992;1;0;0;2232
14002;2;1500;1100;2232
14012;4;0;0;2232
14022;5;0;0;2232
14032;3;0;0;2232
14042;6;0;0;2232
14052;7;0;0;2232
14062;4;1500;1100;2242
14072;1;0;0;2242
14082;2;0;0;2242
14092;5;0;0;2242
14102;3;0;0;2242
14112;2;0;0;2252
14122;1;0;0;2252
14132;6;0;0;2242
14142;7;0;0;2242
14152;4;0;0;2252
14162;3;1500;1100;2252
14172;5;0;0;2252
14182;1;0;0;2262
14192;6;0;0;2252
14202;7;0;0;2252
14212;2;0;0;2262
14222;3;0;0;2262
14232;4;0;0;2262
14242;6;0;0;2262
14252;5;1500;1100;2262
14262;7;0;0;2262
14272;1;0;0;2272
14282;2;0;0;2272
14292;3;0;0;2272
14302;4;1430;1100;2272
14312;5;0;0;2272
14322;6;0;0;2272
14332;1;1430;1100;2292
14342;7;0;0;2272
14352;2;0;0;2292
14362;4;0;0;2292
14372;3;0;0;2292
14382;5;0;0;2292
14392;6;0;0;2292
14402;1;0;0;2282
14412;7;0;0;2292
14422;2;0;0;2282
14432;3;1430;1100;2282
14442;5;0;0;2282
14452;4;0;0;2282
14462;6;0;0;2282
14472;7;0;0;2282
14482;1;0;0;2302
14492;2;0;0;2302
14502;4;0;0;2302
14512;3;0;0;2302
14522;6;2400;2000;2302
14532;5;0;0;2302
14542;1;0;0;2312
14552;3;0;0;2312
14562;7;0;0;2302
14572;2;0;0;2312
14582;7;0;0;2312
14592;5;1430;1100;2312
14602;4;0;0;2312
14612;6;0;0;2312
14752;7;0;0;2342
14742;6;0;0;2342
14732;5;0;0;2342
14722;4;0;0;2342
14712;2;1430;1130;2342
14702;3;0;0;2342
14692;1;0;0;2342
14762;1;2200;1100;2332
14772;2;2200;1100;2332
14782;3;2200;1100;2332
14792;6;2200;1100;2332
14802;4;2200;1100;2332
14812;1;0;0;2352
14822;5;2200;1100;2332
14832;2;0;0;2352
14842;7;1900;1200;2332
14852;4;0;0;2352
14862;3;0;0;2352
14872;5;2000;1130;2352
14882;6;0;0;2352
14892;7;0;0;2352
14902;1;0;0;2362
14912;2;0;0;2362
14922;3;1430;1130;2362
14932;4;0;0;2362
14942;5;0;0;2362
14952;6;0;0;2362
14962;7;0;0;2362
14972;3;0;0;2382
14982;2;1400;1130;2382
14992;1;0;0;2382
15002;4;0;0;2382
15012;7;0;0;2382
15022;1;1400;1130;2372
15032;5;0;0;2382
15042;6;0;0;2382
15052;2;0;0;2372
15062;3;0;0;2372
15072;5;0;0;2372
15082;1;0;0;2392
15092;6;0;0;2372
15102;7;0;0;2372
15112;4;1400;1130;2372
15122;2;0;0;2392
15132;7;0;0;2392
15142;4;0;0;2392
15152;6;0;0;2392
15162;5;0;0;2392
15172;3;1430;1100;2392
15182;5;1030;700;2402
15192;3;1030;700;2402
15202;2;1030;700;2402
15212;4;1030;700;2402
15222;6;0;0;2402
15232;1;1030;700;2402
15242;7;0;0;2402
15252;6;0;0;2412
15262;1;1500;1100;2412
15272;2;1500;1100;2412
15282;4;1500;1100;2412
15292;5;1500;1100;2412
15302;7;0;0;2412
15312;3;1500;1100;2412
16012;5;0;0;2512
16002;7;0;0;2512
15992;4;0;0;2512
15982;6;0;0;2512
15972;3;0;0;2512
15962;1;0;0;2512
15952;2;0;0;2512
15942;7;0;0;2502
15932;4;0;0;2502
15922;6;0;0;2502
15912;5;0;0;2502
15902;1;0;0;2502
15892;3;0;0;2502
15882;2;0;0;2502
15532;1;0;0;2452
15542;4;0;0;2452
15552;2;1400;1100;2452
15562;6;0;0;2452
15572;3;0;0;2452
15582;7;0;0;2452
15592;2;0;0;2462
15602;5;0;0;2452
15612;1;1400;1100;2462
15622;3;0;0;2462
15632;4;0;0;2462
15642;5;0;0;2462
15652;7;0;0;2462
15662;6;0;0;2462
15672;1;0;0;2472
15682;2;0;0;2472
15692;3;1400;1100;2472
15702;5;0;0;2472
15712;7;0;0;2472
15722;4;0;0;2472
15732;6;0;0;2472
16022;1;0;0;2522
16032;2;2100;1500;2522
16042;3;0;0;2522
16052;5;0;0;2522
16062;4;0;0;2522
16072;7;0;0;2522
16082;1;0;0;2532
16092;6;2100;1300;2522
16102;2;2100;1500;2532
16112;3;0;0;2532
16122;4;0;0;2532
16132;6;0;0;2532
16142;7;2000;1500;2532
16152;5;0;0;2532
16162;2;0;0;2542
16172;1;0;0;2542
16182;3;0;0;2542
16192;4;0;0;2542
16202;5;0;0;2542
16212;6;0;0;2542
16222;1;2000;1100;2552
16232;7;1600;1300;2542
16242;2;0;0;2552
16252;5;2100;1100;2552
16262;7;0;0;2552
16272;6;0;0;2552
16282;3;2000;1100;2552
16292;4;0;0;2552
16302;2;2100;1500;2562
16312;1;0;0;2562
16322;3;0;0;2562
16332;6;2100;1300;2562
16342;7;0;0;2562
16352;2;2100;1500;2572
16362;5;0;0;2562
16372;1;0;0;2572
16382;4;0;0;2562
16392;3;0;0;2572
16402;6;0;0;2572
16412;4;0;0;2572
16422;5;0;0;2572
16432;7;2000;1500;2572
16442;1;2000;1100;2592
16452;3;2000;1100;2592
16462;4;0;0;2592
16472;6;0;0;2592
16482;2;0;0;2592
16492;5;2100;1100;2592
16502;7;0;0;2592
16512;5;0;0;2582
16522;3;0;0;2582
16532;1;0;0;2582
16542;2;0;0;2582
16552;4;0;0;2582
16562;6;0;0;2582
16572;7;1600;1300;2582
